id,status,now_cost,selected_by_percent,form,event_points,cost_change_event,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,total_points,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index
607,a,5.0,0.0,0.0,0,0,50,79,0.0,0.0,3.1,2.6,0,0,0,50,79,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,d,5.5,0.0,0.0,0,0,41,480,0.0,0.0,2.3,2.3,0,0,0,41,480,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,a,7.0,2.2,0.0,0,0,6464,31588,0.0,0.0,3.2,3.2,0,0,1,6464,31588,0,0.0,0.0,0.0,0.15,0.2,0.8,0.0,0.1
3,a,6.0,13.4,6.0,6,0,17430,23167,1.0,1.0,4.2,4.2,6,0,22,17430,23167,0,0.12,0.02,0.14,0.47,13.8,1.4,8.0,2.3
4,a,8.0,14.8,12.0,12,0,150225,22210,1.5,1.5,3.5,3.5,12,3,48,150225,22210,1,0.45,0.04,0.49,0.47,54.8,24.1,46.0,12.5
5,u,4.0,0.1,0.0,0,0,0,766,0.0,0.0,0.0,0.0,0,0,0,0,766,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,a,5.5,0.9,1.0,1,0,2047,5852,0.2,0.2,3.8,3.8,1,0,2,2047,5852,0,0.02,0.01,0.03,0.15,0.0,0.8,8.0,0.8
7,a,5.0,0.3,0.0,0,0,1603,3749,0.0,0.0,2.6,2.6,0,0,0,1603,3749,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,a,5.0,0.2,0.0,0,0,405,2048,0.0,0.0,3.4,3.4,0,0,0,405,2048,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,a,7.0,3.0,3.0,3,0,10245,14140,0.4,0.4,3.5,3.5,3,0,16,10245,14140,0,0.08,0.19,0.27,0.47,13.6,36.7,25.0,7.5
10,a,5.0,0.0,0.0,0,0,155,398,0.0,0.0,2.6,2.6,0,0,0,155,398,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,a,6.0,0.4,0.0,0,0,1297,4926,0.0,0.0,3.0,3.0,0,0,0,1297,4926,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,a,4.5,0.2,0.0,0,0,1294,1372,0.0,0.0,2.0,2.0,0,0,0,1294,1372,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,a,8.5,15.5,3.0,3,0,14330,63966,0.4,0.4,3.9,3.9,3,0,16,14330,63966,0,0.02,0.06,0.08,0.47,15.0,24.0,15.0,5.4
14,a,4.5,0.8,0.0,0,0,1219,6605,0.0,0.0,3.2,3.2,0,0,0,1219,6605,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
