id,total_points,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index
96,0.0,0.0,0.0,376.0,1035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294,0.0,0.0,0.0,1404.0,2371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
393,0.0,0.0,0.0,35.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
468,0.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
538,0.0,0.0,0.0,0.0,293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
539,0.0,0.0,0.0,63953.0,19295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540,0.0,0.0,0.0,978.0,1853.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,0.0,0.0,0.0,0.0,1357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,0.0,0.0,0.0,254.0,589.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,0.0,0.0,0.0,707.0,857.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,0.0,0.0,0.0,547.0,897.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,0.0,0.0,0.0,0.0,532.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,0.0,9.0,4728.0,6823.0,0.0,0.38,0.06,0.44000000000000006,0.32000000000000006,1.8000000000000007,31.499999999999996,16.0,4.9
3,2.0,0.0,5.0,277285.0,48647.0,0.0,0.19999999999999996,0.039999999999999994,0.2400000000000002,0.6500000000000004,4.600000000000023,3.700000000000003,16.0,2.3999999999999986
4,8.0,2.0,34.0,279017.0,75150.0,0.0,0.77,0.04000000000000001,0.81,0.6500000000000004,37.599999999999994,14.899999999999991,82.0,13.5
5,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,28096.0,37545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2.0,0.0,17.0,904.0,1985.0,0.0,0.04,0.14,0.18,0.32000000000000006,4.0,19.5,1.0,2.5
8,1.0,0.0,3.0,1392.0,977.0,0.0,0.0,0.0,0.0,0.040000000000000036,2.3999999999999995,0.3,0.0,0.30000000000000004
9,6.0,0.0,27.0,151151.0,23564.0,0.0,0.41000000000000003,0.039999999999999813,0.44999999999999996,0.33000000000000007,35.80000000000001,4.299999999999983,37.0,7.699999999999996
12,0.0,0.0,0.0,3854.0,3209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,241.0,32093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2.0,0.0,6.0,161994.0,53957.0,0.0,0.0,0.0,0.0,0.6500000000000004,8.0,0.0,0.0,0.8000000000000007
16,2.0,0.0,15.0,9228.0,17085.0,0.0,0.14,0.2,0.33999999999999997,0.6499999999999995,15.399999999999999,54.2,9.0,7.900000000000002
17,16.0,3.0,67.0,248061.0,124207.0,1.0,0.31000000000000005,0.9299999999999997,1.2400000000000002,0.6500000000000004,84.19999999999999,90.0,73.0,24.700000000000003
18,2.0,0.0,10.0,50740.0,152489.0,0.0,0.0,0.030000000000000006,0.030000000000000006,0.6500000000000004,13.400000000000006,4.0,2.0,1.9000000000000004
20,2.0,0.0,25.0,9505.0,15568.0,0.0,0.11000000000000001,0.04999999999999999,0.16000000000000003,0.6100000000000003,22.799999999999983,12.700000000000003,13.0,4.899999999999999
21,0.0,0.0,0.0,43.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1.0,0.0,2.0,207.0,157.0,0.0,0.18,0.0,0.18,0.04,0.4,0.3,9.0,1.0
23,1.0,0.0,8.0,99966.0,20892.0,0.0,0.0,0.07,0.07000000000000006,0.33000000000000007,10.0,42.7,8.0,6.100000000000001
24,0.0,0.0,0.0,792.0,161727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,77.0,14776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,1839.0,15523.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,1.0,0.0,2.0,1647.0,7325.0,0.0,0.33,0.020000000000000004,0.35,0.32,3.5999999999999996,12.8,29.0,4.5
578,2.0,0.0,15.0,46597.0,13377.0,0.0,0.0,0.12,0.12,0.6099999999999999,17.799999999999997,4.900000000000002,10.0,3.3000000000000007
597,0.0,0.0,0.0,562.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
633,1.0,0.0,8.0,844.0,192.0,0.0,0.0,0.03,0.03,0.33,19.6,11.9,2.0,3.4
638,0.0,0.0,0.0,105.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
639,0.0,0.0,0.0,171.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
657,0.0,0.0,0.0,1056.0,666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
658,0.0,0.0,0.0,574.0,462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
659,0.0,0.0,0.0,178.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
662,0.0,0.0,0.0,585.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
665,0.0,0.0,0.0,1890.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,3.0,0.0,6.0,1878.0,17517.0,0.0,0.02999999999999997,0.06000000000000005,0.08999999999999986,0.25,2.5999999999999943,11.900000000000006,6.0,2.099999999999998
29,2.0,0.0,8.0,1308.0,3371.0,0.0,0.0,0.06999999999999999,0.06999999999999998,0.52,10.799999999999997,23.000000000000004,4.0,3.8000000000000007
30,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
