id_x,first_name,second_name,web_name,team,team_code,position
1,David,Raya Martín,Raya,1,3,GKP
2,Kepa,Arrizabalaga Revuelta,Arrizabalaga,1,3,GKP
3,Karl,Hein,Hein,1,3,GKP
4,Tommy,Setford,Setford,1,3,GKP
5,Gabriel,dos Santos Magalhães,Gabriel,1,3,DEF
6,William,Saliba,Saliba,1,3,DEF
7,Riccardo,Calafiori,Calafiori,1,3,DEF
8,Jurriën,Timber,J.Timber,1,3,DEF
9,Jakub,Kiwior,Kiwior,1,3,DEF
10,Myles,Lewis-Skelly,Lewis-Skelly,1,3,DEF
11,Benjamin,White,White,1,3,DEF
13,Brayden,Clarke,Clarke,1,3,DEF
14,Maldini,Kacurri,Kacurri,1,3,DEF
15,Josh,Nichols,Nichols,1,3,DEF
16,Bukayo,Saka,Saka,1,3,MID
17,Martin,Ødegaard,Ødegaard,1,3,MID
18,Noni,Madueke,Madueke,1,3,MID
19,Gabriel,Martinelli Silva,Martinelli,1,3,MID
20,Leandro,Trossard,Trossard,1,3,MID
21,Declan,Rice,Rice,1,3,MID
22,Mikel,Merino Zazón,Merino,1,3,MID
23,Fábio,Ferreira Vieira,Fábio Vieira,1,3,MID
24,Christian,Nørgaard,Nørgaard,1,3,MID
25,Ethan,Nwaneri,Nwaneri,1,3,MID
26,Martín,Zubimendi Ibáñez,Zubimendi,1,3,MID
28,Ismeal,Kabia,Kabia,1,3,MID
29,Albert,Sambi Lokonga,Sambi,1,3,MID
30,Kai,Havertz,Havertz,1,3,FWD
31,Gabriel,Fernando de Jesus,G.Jesus,1,3,FWD
266,Eberechi,Eze,Eze,1,3,MID
662,Cristhian,Mosquera,Mosquera,1,3,DEF
666,Viktor,Gyökeres,Gyökeres,1,3,FWD
700,Max,Dowman,Dowman,1,3,MID
711,Andre,Harriman-Annous,Harriman-Annous,1,3,MID
725,Piero,Hincapié,Hincapie,1,3,DEF
32,Emiliano,Martínez Romero,Martinez,2,7,GKP
33,Marco,Bizot,M.Bizot,2,7,GKP
34,Joe,Gauci,Gauci,2,7,GKP
35,Filip,Marschall,Marschall,2,7,GKP
36,Matty,Cash,Cash,2,7,DEF
37,Lucas,Digne,Digne,2,7,DEF
38,Ezri,Konsa Ngoyo,Konsa,2,7,DEF
39,Ian,Maatsen,Maatsen,2,7,DEF
40,Tyrone,Mings,Mings,2,7,DEF
41,Pau,Torres,Pau,2,7,DEF
42,Andrés,García,A.García,2,7,DEF
43,Álex,Moreno Lopera,Alex Moreno,2,7,DEF
44,Lamare,Bogarde,Bogarde,2,7,DEF
45,Lino,da Cruz Sousa,Sousa,2,7,DEF
46,Yasin,Özcan,Yasin,2,7,DEF
47,Morgan,Rogers,Rogers,2,7,MID
48,Youri,Tielemans,Tielemans,2,7,MID
49,Leon,Bailey,Bailey,2,7,MID
50,Emiliano,Buendía Stati,Buendía,2,7,MID
51,Samuel,Iling-Junior,Iling Jr,2,7,MID
53,Donyell,Malen,Malen,2,7,MID
54,John,McGinn,McGinn,2,7,MID
55,Ross,Barkley,Barkley,2,7,MID
56,Enzo,Barrenechea,Barrenechea,2,7,MID
57,Lewis,Dobbin,Dobbin,2,7,MID
58,Boubacar,Kamara,Kamara,2,7,MID
59,Amadou,Onana,Onana,2,7,MID
60,Ben,Broggio,Broggio,2,7,MID
61,Leander,Dendoncker,Dendoncker,2,7,MID
62,Jamaldeen,Jimoh-Aloba,Jimoh-Aloba,2,7,MID
63,Kadan,Young,Young,2,7,MID
64,Ollie,Watkins,Watkins,2,7,FWD
65,Zépiqueno,Redmond,Redmond,2,7,FWD
389,Harvey,Elliott,Elliott,2,7,MID
456,Jadon,Sancho,Sancho,2,7,MID
677,Evann,Guessand,Guessand,2,7,MID
688,James,Wright,Wright,2,7,GKP
701,Triston,Rowe,Rowe,2,7,DEF
702,Bradley,Burrowes,Burrowes,2,7,MID
703,Sam,Proctor,Proctor,2,7,GKP
710,Travis,Patterson,Patterson,2,7,DEF
719,Victor,Lindelöf,Lindelöf,2,7,DEF
183,Max,Weiß,Weiss,3,90,GKP
184,Etienne,Green,Green,3,90,GKP
185,Václav,Hladký,Hladký,3,90,GKP
186,Connor,Roberts,Roberts,3,90,DEF
187,Kyle,Walker,Walker,3,90,DEF
188,Hannes,Delcroix,Delcroix,3,90,DEF
189,Owen,Dodgson,Dodgson,3,90,DEF
190,Hjalmar,Ekdal,Ekdal,3,90,DEF
191,Maxime,Estève,Estève,3,90,DEF
192,Quilindschy,Hartman,Hartman,3,90,DEF
193,Bashir,Humphreys,Humphreys,3,90,DEF
194,Jordan,Beyer,Jordan,3,90,DEF
195,Lucas,Pires Silva,Lucas Pires,3,90,DEF
196,Shurandy,Sambo,Sambo,3,90,DEF
197,Oliver,Sonne,Sonne,3,90,DEF
198,Axel,Tuanzebe,Tuanzebe,3,90,DEF
199,Joe,Worrall,Worrall,3,90,DEF
200,Jaidon,Anthony,Anthony,3,90,MID
201,Manuel,Benson Hedilazio,Benson,3,90,MID
202,Jacob,Bruun Larsen,Bruun Larsen,3,90,MID
203,Enock,Agyei,Boateng,3,90,MID
204,Darko,Churlinov,Churlinov,3,90,MID
205,Josh,Cullen,Cullen,3,90,MID
206,Marcus,Edwards,Edwards,3,90,MID
